Gene	Triplication-1.RNA.counts.txt	Triplication-2.RNA.counts.txt	Triplication-3.RNA.counts.txt	Isogenic-1.RNA.counts.txt	Isogenic-2.RNA.counts.txt	Isogenic-3.RNA.counts.txt
ACTR3P2	6.908752115	4.430208779	2.88952978	3.245089322	5.684407821	4.306911257
ACTR3P3	0	0	0	0	0	0
ACTR5	142.0132379	181.6385599	146.4028422	188.2151807	216.0074972	226.8306595
ACTR6	564.2147561	514.7902601	523.9680667	398.0642902	387.4871332	389.0576502
ACTR6P1	0	0	0	0	0	0
ACTR8	581.8704559	545.8017216	552.8633645	488.9267912	544.7557496	501.0373429
ACTRT1	0	0	0	0	0	0
ACTRT1P1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	15.35278248	4.430208779	12.52129571	27.04241102	22.73763129	28.71274171
ACVR1	850.5441493	686.6823607	772.4676278	762.5959907	859.2929823	903.0157269
ACVR1B	2572.358704	2796.347781	3031.116739	1643.096893	2055.860829	1850.536203
ACVR1C	12.28222598	8.860417558	15.41082549	21.63392881	21.79022998	8.613822514
ACVR2A	705.4603549	744.2750749	686.744911	727.9817046	787.2904833	574.2548343
ACVR2B	929.6109791	1331.720759	1167.370031	518.1325951	787.2904833	450.7900449
ACVR2B-AS1	37.61431707	22.1510439	28.8952978	37.85937542	63.47588734	21.53455629
ACVRL1	530.4386346	255.1800257	269.6894461	827.4977771	960.6649218	785.2934859
ACY1	0	4.430208779	4.815882966	5.408482203	4.737006518	1.435637086
